,LOCATION,Value,total_cases_per_million,total_deaths,total_deaths_per_million,total_tests,total_tests_per_thousand,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,hospital_beds_per_thousand,human_development_index,total_vaccinations,total_vaccinations_per_hundred,people_vaccinated,people_fully_vaccinated_per_hundred
0,AUS,3.9,107397.561,4373.0,167.052,61854639.0,2386.267,15.504,10.129,44648.71,0.5,3.84,0.944,51533463.0,196.86,21849002.0,77.6
1,AUT,5.35,234127.704,17358.0,1941.694,147852372.0,16571.51,19.202,13.748,45436.686,0.7,7.37,0.922,17989469.0,201.23,6839820.0,76.32
2,BEL,3.21,288599.195,29429.0,2524.811,30897125.0,2660.926,18.571,12.849,42658.576,0.2,5.64,0.931,24455943.0,209.82,9195170.0,76.77
3,CAN,2.77,82313.986,34969.0,909.364,57137952.0,1497.522,16.984,10.797,44017.591,0.5,2.5,0.929,79317565.0,206.26,32411426.0,79.19
4,CZE,4.1,325420.836,37549.0,3578.143,51536579.0,4903.226,19.027,11.58,32605.906,1.0142857142857142,6.63,0.9,17217756.0,164.07,6936881.0,64.93
5,FRA,3.36,311025.747,133681.0,1971.318,240603247.0,3568.616,19.718,13.079,38605.671,1.0142857142857142,5.98,0.901,138989028.0,204.96,54218026.0,76.74
6,DEU,4.47,135389.824,118943.0,1426.691,131286804.0,1574.021,21.453,15.957,45229.245,1.0142857142857142,8.0,0.947,171092263.0,205.22,64185658.0,74.36
7,HUN,3.14,166305.252,42069.0,4220.7,9882012.0,1017.737,18.577,11.976,26777.561,0.5,7.02,0.854,16701238.0,167.56,6375808.0,61.45
8,ISL,4.32,213221.669,50.0,134.083,1075601.0,2904.4,14.431,9.207,46482.958,0.2,2.91,0.949,795015.0,213.2,308919.0,76.76
9,IRL,3.46,243845.444,6228.0,1239.87,11088197.0,2223.632,13.928,8.678,67335.293,0.2,2.96,0.955,10528795.0,209.61,4058533.0,78.66
10,ITA,4.0,199293.205,149512.0,2532.493,177569247.0,2997.439,23.021,16.24,35220.084,2.0,3.18,0.892,131067992.0,222.01,50457656.0,78.96
11,JPN,2.6,28110.692,19616.0,158.255,33989730.0,272.763,27.049,18.493,39002.223,1.0142857142857142,13.05,0.919,213791061.0,172.48,101670535.0,80.79
12,KOR,2.51,21831.928,6943.0,133.994,53858182.0,1039.129,13.914,8.622,35938.374,0.2,12.27,0.916,116130714.0,224.12,44482615.0,84.82
13,MEX,2.41,40525.043,309884.0,2430.384,14428452.0,113.874,6.857,4.321,17336.469,2.5,1.38,0.779,169815314.0,133.18,83917663.0,60.89
14,NZL,3.43,3568.364,52.0,10.028,7264156.0,1416.09,15.322,9.72,36085.843,1.0142857142857142,2.61,0.931,9856220.0,190.08,4210765.0,75.95
15,NOR,5.09,172481.619,1467.0,269.951,10372816.0,1919.818,16.821,10.813,64800.057,0.2,3.6,0.957,11157369.0,205.31,4326252.0,73.8
16,SVK,3.67,309020.095,17995.0,3188.65,48511756.0,8905.125,15.07,9.167,30155.152,0.7,5.82,0.86,5754313.0,101.96,2595901.0,70.22821428571429
17,ESP,4.58,219503.833,94931.0,1996.083,83762181.0,1763.9,19.436,13.799,34272.36,1.0,2.97,0.904,91211425.0,191.79,40971209.0,80.66
18,CHE,4.39,281453.482,12865.0,1471.889,17722823.0,2039.12,18.436,12.644,57410.166,1.0142857142857142,4.53,0.955,15436190.0,176.61,6067501.0,67.96
19,TUR,2.05,145839.337,89211.0,1045.344,135149913.0,1594.211,8.153,5.061,25129.341,0.2,2.81,0.82,143303935.0,167.92,57517069.0,61.57
20,GBR,3.03,265635.989,185475.0,2747.414,448360064.0,6663.988,18.517,12.527,39753.244,0.2,2.54,0.932,138718046.0,205.48,52458207.0,72.05
21,BRA,2.05,124439.464,634118.0,2945.092,67689970.0,315.827,8.552,5.06,14103.452,3.4,2.2,0.765,371840433.0,172.7,172885945.0,70.21
23,EST,3.48,295497.804,2075.0,1564.781,2947182.0,2218.093,19.452,13.491,29481.252,0.5,4.69,0.892,1933694.0,145.82,855440.0,62.63
24,IDN,0.63,16624.576,144719.0,525.293,50667072.0,185.083,5.319,3.053,11188.744,5.7,1.04,0.718,325992890.0,118.33,187047562.0,47.95
25,ISR,3.31,347790.56,9303.0,984.549,44897740.0,4832.39,11.733,7.359,33132.32,0.5,2.99,0.919,17991024.0,190.4,6704780.0,64.79
26,SVN,3.3,382657.584,6012.0,2836.059,3280187.0,1547.689,19.062,12.93,31400.84,1.0142857142857142,4.5,0.917,2936073.0,138.5,1262096.0,57.24
27,LVA,3.34,251205.79,4969.0,2684.997,6232798.0,3326.077,19.754,14.136,25063.846,0.7,5.57,0.866,2815717.0,152.15,1339283.0,69.83
28,LTU,4.48,292466.559,8016.0,2914.848,7820778.0,2806.515,19.002,13.778,29524.265,0.7,6.56,0.882,4432693.0,161.19,1944245.0,67.83
